번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,2538페이지중 980페이지까지만함
50579,가락타운상가시장,유니네일,"부산광역시 사하구 하신중앙로 265, 355동 1층 107호",송소윤,-,"미용업(손톱, 발톱), 의류 및 잡화",,,
50578,가락타운상가시장,보얀미용실,"부산 사하구 하신번영로 233, 상가 207호 (하단동,가락타운2단지아파트)",김은숙,-,미용,,,
50577,가락타운상가시장,가락종합테크니칼,"부산광역시 사하구 하신중앙로 265, 355동 106호 상가(하단동, 가락타운), 가락종합테크니칼",김만오,512920454,"목재,석재,철물",,,
50576,가락타운상가시장,플라워무드(flower mood),"부산광역시 사하구 하신중앙로 265, 355동 222호",채유정,-,떡케이크,,,
50575,가락타운상가시장,가락부광과일,"부산광역시 사하구 하신중앙로 265(하단동, 가락타운2·3단지), 가락부광과일",문기주,512922727,농축수산품,,,
50574,가락타운상가시장,미니수수 아트플라워,"부산광역시 사하구 하신중앙로 265, 3층 310호",김수민,512024082,"꽃, 공방(꽃) 및 교육(미술,공예품)",,,
50573,가락타운상가시장,약석피부관리실,"부산광역시 사하구 하신번영로 233, 가락타운3단지상가355311하단동, 가락타운2·3단지, 약석피부관리실",이말순,512922633,기타회원제형태업소4,,,
50572,가락타운상가시장,맛나분식,"부산광역시 사하구 하신중앙로 265, 355동 B006, B007호",양미애,512917771,그 외 기타 간이 음식점업,,,
50571,가락타운상가시장,가락세탁소,"부산시사하구하신중앙로265, 355동 15호",임상용,512049325,가정용세탁업,,,
50570,가리봉시장,가산순대국,"서울시 금천구 가산로 147-7, 1층",이광순,-,한식,,,
50569,가리봉시장,명동야채,"서울시 구로구 디지털로19길 47(가리봉동, 명동야채",박학순,28302518,채소 야채,,,
50568,가리봉시장,대성농산,"서울특별시 구로구 디지털로19길 42, 1층",박윤용,28533018,참기름,,,
50567,가리봉시장,진진착유,"서울시 구로구 우마3길 19, 진진착유",최낙관,-,참기름,,,
50566,가리봉시장,소식부,"서울시 구로구 우마3길 13(가리봉동), 1층",신시남,-,중식,,,
50565,가리봉시장,이모네중국식품점,"서울시 구로구 디지털로19길 49, 이모네중국식품점(가리봉동)",최은숙,-,종합식품센터,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
50564,가리봉시장,은주상회,"서울특별시 구로구 우마3길 22, 1층",최창수,298620282,잡화,,,
50563,가리봉시장,은정이발관,"서울시 구로구 디지털로19길 51(가리봉동), 1층",신창수,-,이용업,,,
50562,가리봉시장,차이니스푸드,"서울시 구로구 우마3길 11(가리봉동), 1층",장영근,28677033,"음식료품(식품,잡화,육류)주류",,,
50561,가리봉시장,동성약국,"서울특별시 구로구 디지털로19길 51, 1층",이병조,28543357,약,,,
